god bless,wow,perfect ,happy,unfortunately,worried,sorry ,late
5302,3018,47,24,20,995,3,4
9378,5082,1331,969,26,1258,98,19
9633,6821,1397,1015,28,1287,112,34
9652,6859,2539,1016,1007,2015,967,44
9654,8643,4889,1273,1309,2212,986,62
15002,10237,4960,1360,1321,2214,1011,66
17273,10691,5081,1980,1344,2513,1015,68
18723,10985,9251,2184,1411,2622,1025,69
19110,13805,10008,2234,1416,2964,1259,73
21911,15144,10280,2265,1976,3018,1272,83
23096,16566,10997,2275,1980,4940,1276,88
27036,18996,11432,2276,2005,7536,1302,109
27304,22891,11826,2286,2215,7620,1304,112
29258,22917,12578,2363,2282,8409,1312,973
32609,23334,13457,2524,2312,9018,1321,985
35986,23576,13487,2622,2319,9323,1329,996
38187,23829,13852,2646,2325,9598,1359,1001
38189,24076,16058,2651,2331,9602,1375,1007
39692,24086,16864,2678,2334,9701,1386,1008
41012,25554,18165,2680,2341,9822,1403,1010
43846,25691,19937,2914,2638,9872,1411,1015
44340,26736,20148,3054,2704,9903,1417,1254
44423,35241,20615,3058,2722,10180,1423,1262
44424,35992,20825,3441,2727,10296,1427,1267
44428,39175,21147,3479,2788,10686,1429,1287
44430,39517,21925,4424,2795,10710,2037,1289
45381,40433,22217,4487,2797,10856,2190,1291
47022,40584,22247,4511,2840,11683,2265,1312
49007,41221,22314,4931,2856,11729,2353,1321
49489,45149,23218,4988,2888,12505,2357,1341
49655,45283,23393,5006,2949,12535,2587,1348
49991,45376,23395,5056,2989,12578,2614,1350
50301,47483,23565,5075,3058,12773,2616,1351
52383,48037,25863,5080,3106,12834,2679,1370
53952,48597,27108,5094,3137,13343,2691,1372
54163,48601,27295,5108,3139,13359,2702,1394
54165,48624,27967,5245,3195,13554,2845,1420
54944,49438,30376,5246,3275,14125,2909,1423
55606,50075,30885,5248,3308,14161,2918,1427
55640,50428,32091,5254,3359,14525,2922,1986
56134,51252,32988,5288,3373,14712,2954,1987
56136,51744,33002,6793,3403,14728,2999,1989
60134,51947,33434,6845,3446,14767,3025,2011
60817,52263,33494,6879,3458,15501,3043,2026
61226,52289,34197,6881,3490,15565,3107,2031
61493,52298,34258,7283,4388,15641,3382,2040
62901,53268,35150,7332,4452,15970,4371,2193
63451,54420,35196,7336,4486,16035,4402,2223
64460,55368,36953,7362,4523,16735,4444,2227
64703,55370,36988,7390,4624,16949,4452,2245
65817,55622,36994,7391,4901,16990,4554,2246
71485,58662,37029,7395,4946,17098,4591,2254
71922,60643,37275,7516,4952,17187,4605,2262
73461,61023,38241,7532,5020,17237,4945,2268
73754,63690,38417,7578,5086,20636,5065,2270
74253,64872,39641,7580,5247,20857,5076,2282
74938,67693,39725,7595,6400,20885,5082,2291
75872,70726,40368,7605,6842,21029,5096,2310
75883,74984,40537,7671,6881,21470,5103,2315
75939,87789,40576,7709,7353,22172,5116,2317
80333,88832,41491,7723,7357,22296,5260,2319
80730,94076,41620,7739,7373,22893,5288,2326
82536,97755,41621,8436,7439,22967,6400,2343
83449,98339,41701,8684,7441,23396,6816,2348
83930,99474,42504,8697,7517,23446,6820,2356
83934,99476,42529,8728,7534,23477,6827,2362
85898,101484,43540,9038,7536,23483,6843,2461
85921,102782,44403,9070,7539,23500,6848,2523
86029,104641,45094,9115,7546,23585,6871,2528
87832,105451,45258,9189,7578,23716,6875,2546
89003,105665,45875,9204,7602,23734,6877,2611
89982,108941,46769,9373,7658,23836,7283,2612
90402,115189,47371,9505,7665,23862,7290,2614
95017,118101,47418,9546,7709,23908,7292,2671
97359,119632,47994,9624,7727,24222,7298,2697
97896,124486,48468,9633,8188,24283,7317,2709
98096,126888,48540,9649,8190,24284,7353,2710
98342,134017,49156,9790,8238,24286,7357,2736
98345,136057,49541,9895,8313,24895,7367,2741
99241,138557,50012,9917,8342,24929,7375,2744
99335,139816,50081,10006,8647,25994,7382,2749
101288,146099,50089,10021,8671,26514,7387,2754
105413,147713,50374,10222,9049,26582,7389,2822
108232,147775,50478,10258,9184,26598,7395,2826
109989,148020,51205,10273,9201,27994,7397,2839
110649,148626,51951,10710,9214,28013,7406,2888
113169,154151,52012,10756,9238,28040,7434,2906
113735,159102,52013,10763,9341,28414,7439,2916
113737,163417,52330,10790,9361,29293,7441,2955
114181,166042,52333,10804,9486,29294,7443,2974
114408,166131,53058,10840,9547,30269,7446,2979
117095,171107,53141,10897,9589,30290,7447,2980
117642,171882,53182,10985,9591,30869,7453,2989
118058,182876,53566,10986,9596,31627,7457,2993
118637,187748,53574,11823,9649,32392,7459,2994
118762,188382,53648,12371,9673,33857,7505,2995
119727,189373,54369,12406,9717,34072,7512,3025
122030,189631,55969,12691,9725,34115,7534,3038
123366,190413,56081,12695,9772,34965,7536,3044
123367,195682,57867,12823,9875,35164,7539,3045
124052,195709,59168,13256,9891,35169,7542,3047
129194,196717,59169,13608,9910,35283,7556,3049
129707,198968,59528,13699,10006,35426,7559,3054
131162,199333,59583,13904,10024,36085,7562,3057
131283,201187,60352,13922,10091,36244,7566,3060
132513,202783,62120,14581,10729,36722,7568,3061
133778,202921,62125,14667,10735,36736,7571,3106
133779,205011,63301,14690,10867,36862,7572,3113
133781,207882,63338,14722,10971,38438,7576,3114
133783,208521,63365,14766,11059,38439,7578,3123
133851,215394,63539,14936,11068,39684,7593,3129
134267,215577,64311,14941,11073,39703,7613,3132
135174,223106,64397,15048,11085,39770,7645,3136
136366,223484,64728,15101,11092,39819,7658,3151
136827,223502,64766,15144,11407,39820,7667,3156
138545,225498,70369,15803,11431,40259,7685,3167
139296,226087,70461,15841,11497,40331,7687,3168
139603,227737,70573,15855,11885,40338,7689,3177
139685,232426,70866,15932,12351,40562,7713,3179
139687,235932,71290,16565,12394,41535,7715,3202
139745,236840,72027,16567,12428,41635,7723,3210
140673,237780,73410,16590,12703,41646,7754,3243
142728,246294,73428,16661,12710,41667,8168,3268
142736,247453,73668,16686,12774,41737,8186,3270
142748,249854,76017,16718,12803,43570,8192,3281
142754,252573,76343,16954,12832,43577,8194,3290
142756,262321,76347,17140,13255,43613,8198,3308
142764,266191,76624,17151,13292,43621,8203,3329
143899,268573,77682,17171,13619,43745,8226,3333
144878,269899,80379,17192,13620,44403,8250,3401
146057,274354,80785,17201,13631,44467,8261,3413
146279,284685,81073,17254,13692,45295,8277,3424
146825,285552,81312,18246,13705,45405,8294,3446
147982,286586,82225,18725,13785,45694,8304,3469
147984,287967,82406,19466,14124,46353,8307,3472
149613,293771,83676,19467,14126,46384,8310,3493
149673,294430,84158,19673,14149,46962,8321,4373
160628,298059,86091,19948,14177,47400,8330,4375
165010,317911,87283,19991,14502,47453,8336,4385
172303,320050,88171,20132,14539,47827,8342,4392
173041,329151,90741,20371,14592,47932,8354,4402
174589,339805,91396,20801,14729,48062,8355,4415
177219,340056,91795,21102,14926,48086,8394,4441
180473,343302,91964,21221,14975,48497,8402,4445
180558,348588,96374,21324,15071,48501,8404,4451
181148,349632,97328,21357,15078,48561,8436,4486
182234,352163,97394,21465,15101,48630,8438,4505
182752,353122,97638,21923,15691,48908,8673,4513
187025,357168,98077,21927,15697,48910,8687,4526
190342,362646,98779,21996,15701,48912,8689,4549
190351,363175,101883,22302,15856,49067,8695,4576
190410,363312,102925,22787,15862,49555,8697,4578
190412,369573,102934,22800,15884,49735,8712,4623
190475,370330,103510,22883,15919,49741,8714,4630
190507,372767,103530,22890,16053,50048,8726,4916
190583,373949,104719,22939,16074,50275,8732,4920
190603,374102,104746,22972,16719,50485,8743,4924
190625,374736,105365,22977,16743,50512,8746,4928
190919,374929,105380,23072,16960,51422,9016,4969
190930,375406,105453,23166,16974,51491,9021,4995
190933,375606,105466,23352,17099,51773,9027,5005
190937,376055,105467,23368,17177,51780,9033,5006
191397,376072,105470,23371,17184,51781,9040,5013
191849,379194,105475,23482,17273,52933,9049,5018
191978,383482,107582,23486,17337,52939,9058,5020
191999,386669,107672,23572,18033,53042,9099,5058
192381,386957,107674,23729,18045,53046,9107,5065
192386,394293,108212,23807,18047,53065,9112,5081
192440,395124,109400,23937,18069,53768,9129,5089
192671,395922,109530,24002,18076,53886,9133,5093
192926,398635,111354,24086,18116,53907,9147,5131
192933,398947,111610,24099,19104,53908,9156,5242
193135,399646,114164,24117,19109,53936,9184,5246
193197,399647,114429,24203,19144,54390,9193,5264
193441,400776,116413,24231,19438,55318,9203,5272
194289,404232,116980,24260,19486,55702,9214,6792
194438,3018,117031,24351,19905,55930,9219,6828
194440,5082,117121,24690,19929,55969,9222,6831
194920,6821,117244,24722,19931,56114,9244,6841
194930,6859,119701,24766,19949,56360,9257,6867
196523,8643,121685,24768,19960,57445,9259,6871
197191,10237,121769,24825,19972,57452,9269,6877
197266,10691,122662,24832,19973,58220,9282,6879
197267,10985,123349,24970,19975,58653,9291,6880
197298,13805,123574,25045,20057,58749,9297,7295
197308,15144,124608,25676,20108,60344,9305,7323
197312,16566,125645,25679,20153,61099,9325,7325
197771,18996,125761,25726,20299,61170,9328,7339
197777,22891,126801,25753,20315,62063,9358,7344
197811,22917,128654,25814,20327,62520,9366,7351
197820,23334,128962,25839,20501,62691,9374,7355
197824,23576,129786,26642,20506,62751,9376,7362
198964,23829,129851,26690,20535,62884,9377,7369
199236,24076,132352,27087,20563,62919,9379,7407
199353,24086,133069,28034,20627,62965,9387,7408
199691,25554,133377,28293,20827,62970,9398,7424
199692,25691,133842,28387,20849,63532,9415,7445
200040,26736,134281,28448,21320,63766,9419,7450
200220,35241,136334,28629,21481,63773,9430,7460
200432,35992,136839,29846,21490,63797,9444,7461
200457,39175,137771,30991,21502,64290,9459,7464
200474,39517,138618,31386,21508,64431,9479,7516
201271,40433,138896,31401,21968,65817,9482,7534
201324,40584,139413,31405,21985,67654,9513,7537
201326,41221,139856,31406,22177,67847,9521,7541
201393,45149,139987,31604,22231,68096,9525,7542
201396,45283,140250,32069,22240,68115,9545,7556
201598,45376,146135,32134,22263,69020,9557,7559
201783,47483,146138,32257,22329,69552,9576,7564
201789,48037,147740,32564,22784,70285,9649,7574
202067,48597,147741,32890,22932,70325,9655,7587
202085,48601,147901,32943,22967,70380,9663,7614
202117,48624,148191,32980,22969,70625,9721,7632
202168,49438,148333,33522,23020,70702,9763,7647
202474,50075,148372,33561,23052,70709,9796,7654
202897,50428,149718,33586,23069,70794,9804,7676
202901,51252,152115,33600,23162,71292,9809,7725
203579,51744,152264,34189,23175,71499,9819,7743
204981,51947,154539,35173,23176,71520,9869,8171
205009,52263,155690,35188,23177,71825,9871,8172
206449,52289,157084,35229,23192,72152,9908,8181
207799,52298,158258,35309,23199,73187,9919,8182
208207,53268,158348,35429,23241,73324,9933,8192
208555,54420,158390,35430,23270,73719,10219,8194
208557,55368,158449,35485,23271,73792,10289,8203
208965,55370,158915,36020,23289,73855,10691,8205
209236,55622,159124,36083,23359,73910,10692,8249
209499,58662,159504,36244,23508,73911,10723,8260
209524,60643,159508,36793,23556,74230,10950,8298
209544,61023,159533,36802,23557,74243,10976,8300
209548,63690,159659,36908,23596,74410,11045,8301
209826,64872,160628,36915,23830,74912,11097,8304
210456,67693,161489,36997,23843,74990,11517,8320
211567,70726,162406,36999,23855,75263,11525,8333
213028,74984,162735,37159,23973,75746,11703,8376
213418,87789,163048,37235,23979,75801,11828,8436
213420,88832,163828,37371,24069,76361,11844,8642
215015,94076,164123,37372,24149,76430,11849,8643
215016,97755,164372,37382,24190,76520,12372,8654
215162,98339,165374,38147,24200,76565,12552,8673
215168,99474,166188,38298,24281,77342,12682,8687
215298,99476,166468,38480,24290,77348,12819,8697
215389,101484,166474,38536,24692,77368,12901,8698
215454,102782,166747,39519,24764,77568,13307,8712
215473,104641,168590,39665,24852,77694,13408,8716
215514,105451,169415,39971,24869,78101,13455,8733
215574,105665,169511,39972,24925,78942,13463,8739
215599,108941,170724,40191,24928,80333,13515,8742
215629,115189,173264,40254,24999,80613,13700,9018
215633,118101,175632,40340,25001,81026,13789,9026
215635,119632,177062,40341,25067,81162,13791,9048
215636,124486,178864,40376,25068,81217,13794,9068
215790,126888,178908,40946,25078,81269,13795,9074
215870,134017,178909,41012,25080,81328,13959,9077
215900,136057,179735,41154,25103,81441,14182,9079
216008,138557,180590,41470,25105,81843,14501,9084
216018,139816,181430,41557,25412,82080,14502,9106
216095,146099,182038,41608,25417,82084,14504,9107
216102,147713,182164,41632,25422,82228,14515,9112
216184,147775,182319,41682,25457,82262,14670,9133
216189,148020,182951,42413,25509,82279,14748,9154
216476,148626,184255,43635,25683,82407,14792,9155
216479,154151,184531,43811,25704,83668,14862,9160
216488,159102,184687,44208,25708,83676,14887,9173
216508,163417,184784,44299,25746,83758,14893,9175
216536,166042,185622,44325,25749,83966,14931,9204
216649,166131,187155,45059,25752,84051,15095,9233
216652,171107,187316,45229,25853,84111,15102,9237
216682,171882,189579,45231,25876,84126,15109,9243
216683,182876,189657,45246,25880,84224,15207,9288
